,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
116,buriti bravo,40,BR,1609199515,94,-22.93,-45.39,68.0,2.24
117,castro,46,BR,1609199467,92,-24.79,-50.01,64.87,4.27
118,bethel,90,US,1609199364,65,41.37,-73.41,41.0,3.36
119,mar del plata,75,ES,1609199465,81,43.4,-4.01,46.99,10.29
120,northam,99,GB,1609199516,89,51.03,-4.22,44.01,7.0
121,qaanaaq,100,GL,1609199444,89,77.48,-69.36,22.69,10.13
122,mosquera,75,CO,1609199516,72,4.71,-74.23,59.0,9.17
123,airai,97,TL,1609199463,78,-8.93,125.41,69.49,1.34
124,comodoro rivadavia,100,BR,1609199516,97,-13.66,-59.79,69.84,0.72
125,lagoa,100,PT,1609199449,73,39.05,-27.98,57.04,18.61
126,luderitz,0,NA,1609199516,82,-26.65,15.16,59.0,17.22
127,upernavik,100,GL,1609199457,95,72.79,-56.15,27.07,24.2
128,bilibino,6,RU,1609199460,74,68.05,166.44,-18.63,1.81
129,tateyama,75,JP,1609199517,71,34.98,139.87,50.0,3.36
130,xining,100,CN,1609199517,89,36.62,101.77,8.96,1.66
131,missoula,1,US,1609199382,68,47.02,-113.8,30.2,3.36
132,severodvinsk,40,RU,1609199517,84,64.56,39.83,-0.4,4.47
133,new castle,40,LR,1609199517,94,6.65,-10.59,78.8,1.97
134,jibuti,90,DJ,1609199518,69,11.5,42.5,78.8,5.82
135,nam tha,0,CN,1609199518,81,29.42,90.91,17.47,2.01
136,brae,20,GB,1609199463,93,60.4,-1.35,37.4,8.05
137,paita,0,PE,1609199518,65,-5.09,-81.11,77.0,19.46
138,samarai,98,PG,1609199477,68,-10.62,150.67,86.79,12.77
139,morros,55,BR,1609199518,62,-9.45,-46.3,78.21,1.99
140,panama city,40,PA,1609199497,83,9.0,-80.0,79.0,4.7
141,ust-maya,100,RU,1609199519,82,60.42,134.53,-35.66,3.0
142,cherskiy,9,RU,1609199447,83,68.75,161.3,-36.45,1.9
143,vao,70,NC,1609199519,78,-22.67,167.48,77.83,19.24
144,nioro,17,GM,1609199519,32,13.35,-15.75,77.13,11.01
145,constitucion,6,CL,1609199451,76,-35.33,-72.42,60.24,14.07
146,san isidro,0,ML,1609199374,20,13.3,-4.9,71.62,7.85
147,priiskovyy,88,RU,1609199519,80,51.93,116.63,-18.63,3.33
148,royan,81,FR,1609199520,87,45.63,-1.03,44.6,9.17
149,tabas,5,IR,1609199520,43,33.6,56.92,33.8,4.7
